id,en,es
This is the ID tag which is called in the games code,"This the exact text that is in the game once the spread sheet has been downloaded from google and uploaded into the game engine. It is possible to use bold and italic fonts, center text, and include web links using bbcode.","If all the text in the game is called this way, it is extreamly easy to add in a new language option."
,,
MENU_CREDITS,"Created by Be The Green and Earth Games Studio
Funded by (...)

Original inspiration:                              Lisa Z-C                                

Engineering, Developement:                Andrew, Jimmy, Rikki Parent

Research and Editing:                          Dr. D. Frierson

Graphics and Design:                          Carlos Nuñez

Music and Sound:                                


",
,,
,,
WELCOME_01,"[center]Four friends set off on a journey through the world, to build a better life for themselves, their communities, and those yet to come.  They are faced with choices, striving for balance in their own health and their community's health, while recognizing the urgency of the climate crisis.[/center]",
WELCOME_02,"[center]These four (Beat, Jog, Buff, and Surp) are working to build a more equitable society.  With each choice they face, they can recover their own [b]Self[/b] energy, they can spend their energy to help community members who make up their [b]society[/b], or they can spend their energy building long-term [b]sustainability[/b].[/center]",
WELCOME_03,"[center]Press spacebar at the beginning of each turn to spin the spinner.  Watch the avatar move the according number of spaces on the board.  When the player finishes moving, they will draw an [b]Action Card[/b].  Select one of the given choices, either [b]self[/b], [b]society[/b], or [b]sustainability[/b].[/center]",
WELCOME_04,"[center]Choosing the [b]self[/b] choice will gain you 5 self points.  The [b]society[/b] choice will cost you 5 self points, and Society will recieve 5 points.  The [b]sustainability[/b] choice will cost you 5 self points, and Sustainability will gain 5 points.  Watch the world change based on your actions.[/center]",
,,
,,
INTRO,[center]Welcome to the game of [b]'Life Re-Imagined'[/b]. ,
INTRO_SERP,"[center]Hello, my name is [b]Surp[/b]. I like to learn and draw.  My goal is to use art to better my community and myself.  The most important thing to me is being truthful.[/center]
Self points:  15 out of 40 
Super Power:   Arts, Science",
INTRO_BUFF,"[center]I am [b]Buff[/b].  I like to be with my friends and have fun.  My goal is to be with my close ones and help them.  The most important thing to me is my family.[/center]
Self points:   30 out of 40
Super Power:   Charisma, Leading",
INTRO_JOG,"[center]Nice to meet you, I am [b]Jog[/b].  I like to study culture and to dance!  My goal is to preserve traditions and diversity.  The most important thing to me is understanding where we come from.[/center]
Self points:   20 out of 40
Super Power:   History, Storytelling",
INTRO_BEAT,"[center]What's up, the name is [b]Beat[/b].I like to listen to and make music.  My goal is to connect people to their emotions.  The most important thing to me is using my voice for good.[/center]
Self points:   25 out of 40
Super Power:   Music, Empathy",
OUTRO,"[center]You are ready to play. Enjoy the game, and re-imagine your life for the better.[/center]",
,,
,,
CHOICE_SOCIETY,"Your player has {var1} ‘Self’ points.  You made a choice for society, good for you, the people around you have benefited. If you choose to benefit society at every turn, you will neglect yourself.",
CHOICE_SELF,"Your player has {var1} ‘Self’ points.  You made a choice to do something for yourself. Self care is key. If you choose yourself every time, what kind of member of society would you be?",
CHOICE_SUSTAINABILITY,"Your player has {var1} ‘Self’ points.  The Earth will benefit from your sustainable choices for generations to come. It was a little bit harder, but if everyone does a little bit of the work, no one has to suffer.",
,,
,,
ACTION_CARD_01,,
ACTION_CARD_02,The [b]Pride Flag[/b] represent the rights of all LGBTQIA+ people to be who they are.,
ACTION_CARD_03,,
ACTION_CARD_04,,
ACTION_CARD_05,,
ACTION_CARD_06,,
ACTION_CARD_07,,
ACTION_CARD_08,,
ACTION_CARD_09,,
ACTION_CARD_10,,
ACTION_CARD_11,,
ACTION_CARD_12,,
ACTION_CARD_13,,
ACTION_CARD_14,,
ACTION_CARD_15,,
ACTION_CARD_16,,
ACTION_CARD_17,,
ACTION_CARD_18,,
ACTION_CARD_19,,
ACTION_CARD_20,,
ACTION_CARD_21,,
,,
,,
GLOSSARY_01,,
GLOSSARY_02,,
